episode,total_reward
90,-1505.4040937796235
91,-1504.4209775179625
92,-1505.7742132619023
93,-1505.9203342944384
94,-1505.7315763309598
95,-1505.08051584661
96,-1504.2622635364532
97,-1505.9103422015905
98,-1505.430247142911
99,-1503.232823587954
100,-1496.290958866477
101,-1497.3142181560397
102,-1502.885669119656
103,-1503.9208177998662
104,-1503.9942302554846
105,-1415.8973575532436
106,-1481.6147380061448
107,-1503.424770861864
108,-1497.875352576375
109,-1488.1325669586658
110,-1489.5051529929042
111,-1497.0289643332362
112,-1499.6279937662184
113,-1505.9607052728534
114,-1503.1935639120638
115,-1504.0517493113875
116,-1505.0984586253762
117,-1502.8182482123375
118,-1505.0180615335703
119,-1504.8204283714294
120,-1502.936594747007
121,-1503.6586111187935
122,-1503.9865264445543
123,-1504.922668620944
124,-1503.3420473262668
125,-1505.2951824590564
126,-1505.5063420683146
127,-1505.6715120375156
128,-1502.6294119358063
129,-1497.0823387131095
130,-1504.8383620157838
131,-1486.654672216624
132,-1503.0977746397257
133,-1504.6459579020739
134,-1501.4600370377302
135,-1502.3163331970572
136,-1502.4773539453745
137,-1494.4239999763668
138,-1505.4390214011073
139,-1486.9716446995735
140,-1505.4059651494026
141,-1505.6354011073709
142,-1487.8837745897472
143,-1503.1175135746598
144,-1487.3660725280643
145,-1484.35868710652
146,-1501.9614934176207
147,-1505.8252258524299
148,-1491.3335117697716
149,-1505.895537801087
150,-1505.8340864479542
151,-1503.6374469771981
152,-1504.9276498258114
153,-1505.5902808830142
154,-1491.2491822838783
155,-1500.4625646322966
156,-1497.2848111838102
157,-1503.6955911442637
158,-1506.017145447433
159,-1503.1460291594267
160,-1496.6321964412928
161,-1500.019473142922
162,-1503.0977845788002
163,-1506.6401969641447
164,-1494.7989504262805
165,-1488.3482915833592
166,-1484.1135046705604
167,-1503.6020789146423
168,-1504.813578993082
169,-1504.7845675349236
170,-1504.20309394598
171,-1505.8195149824023
172,-1499.3537872508168
173,-1504.2176405489445
174,-1504.748089030385
175,-1504.0592853873968
176,-1503.9429217725992
177,-1505.2827534228563
178,-1502.9415164366364
179,-1505.4166795760393
180,-1505.840764902532
181,-1505.0340559482574
182,-1506.569127470255
183,-1503.7940645441413
184,-1499.3472993820906
185,-1516.1453861445189
186,-1504.4041238352656
187,-1500.8490622639656
188,-1499.1661472320557
189,-1505.3658084273338
190,-1505.2075140476227
191,-1505.194740600884
192,-1506.18663533777
193,-1489.7458691298962
194,-1505.3735916391015
195,-1485.7522039413452
196,-1503.3392992690206
197,-1495.6769164055586
198,-1505.4271285533905
199,-1505.922247454524
200,-1506.881162673235
201,-1505.6861171722412
202,-1504.8351397812366
203,-1505.447639465332
204,-1506.5519644767046
205,-1504.7376059442759
206,-1503.171148635447
207,-1504.9913200512528
208,-1498.7745654210448
209,-1504.1610909104347
210,-1505.2125459387898
211,-1513.9315635859966
212,-1500.8831934183836
213,-1503.2530469745398
214,-1499.7656384184957
215,-1501.8195198960602
216,-1497.1786164343357
217,-1497.874285839498
218,-1508.0198510810733
219,-1499.3216034770012
220,-1494.6646748185158
221,-1496.5572323054075
222,-1503.3500895872712
223,-1500.2313384637237
224,-1505.5708255544305
225,-1500.5162431448698
226,-1501.4409319460392
227,-1498.5850413143635
228,-1493.4045426622033
229,-1503.9252740964293
230,-1505.6423759162426
231,-1505.8466990441084
232,-1504.46537964046
233,-1506.5376302152872
234,-1489.9822935834527
235,-1422.2285230383277
236,-1385.3994344472885
237,-1385.2003149539232
238,-1469.4396281689405
239,-1482.3003986030817
240,-1447.8473252356052
241,-1475.32405064255
242,-1478.76438678056
243,-1478.945075199008
244,-1471.4535692483187
245,-1492.1005523465574
246,-1454.968087643385
247,-1442.361302524805
248,-1421.4303202107549
249,-1467.4882442504168
250,-1426.221489213407
251,-1468.3054250180721
252,-1445.2003685198724
253,-1449.6147556379437
254,-1471.2372649982572
255,-1487.984662644565
256,-1479.6339265480638
257,-1467.3307803794742
258,-1477.71363940835
259,-1478.0618397854269
260,-1481.583664573729
261,-1465.1449918448925
262,-1493.99918936193
263,-1500.3942093402147
264,-1474.361282594502
265,-1464.1866006553173
266,-1483.6773796752095
267,-1437.5717771053314
268,-1498.746832728386
269,-1490.7325976118445
270,-1501.579117268324
271,-1503.3752512708306
272,-1503.3636045008898
273,-1503.2625766918063
274,-1504.954712331295
275,-1504.894045703113
276,-1505.029461145401
277,-1505.5119277760386
278,-1504.9868945330381
279,-1505.4372662752867
280,-1505.751851707697
281,-1505.8206758201122
282,-1505.958598047495
283,-1506.5699388980865
284,-1506.1520991399884
285,-1506.2571193277836
286,-1505.2978101149201
287,-1505.5766301751137
288,-1505.2648150846362
289,-1506.405435025692
290,-1505.21666996181
291,-1506.0401917621493
292,-1504.9912305027246
293,-1504.4019533246756
294,-1505.9547986239195
295,-1503.6811142489314
296,-1504.8186618238688
297,-1502.4522690176964
298,-1504.3296377658844
299,-1505.677337832749
300,-1504.9909922331572
301,-1504.7461594119668
302,-1505.5835997015238
303,-1505.5996688231826
304,-1504.3884980008006
305,-1505.857372559607
306,-1514.1708190441132
307,-1505.3680236563087
308,-1505.5586849302053
309,-1506.0931834504008
310,-1504.353514276445
311,-1505.1869461536407
312,-1504.6401585787535
313,-1503.2325945049524
314,-1506.3316049054265
315,-1498.404052309692
316,-1498.1232089623809
317,-1502.0733711495996
318,-1505.7283313572407
319,-1456.7491684481502
320,-1492.9825094938278
321,-1515.1498812809587
322,-1495.5624134764075
323,-1503.5298026427627
324,-1504.347252562642
325,-1506.3304595425725
326,-1503.789333485067
327,-1505.9867971986532
328,-1503.2523230835795
329,-1505.381206266582
330,-1504.8595119044185
331,-1504.756446607411
332,-1503.8963356167078
333,-1504.8419664874673
334,-1502.7973877638578
335,-1497.2928865402937
336,-1499.2377554401755
337,-1504.9129547774792
338,-1500.7880320847034
339,-1504.0355566367507
340,-1505.4420159682631
341,-1504.6117779240012
342,-1504.0268106386065
343,-1504.8269532620907
344,-1500.5065690875053
345,-1502.734093412757
346,-1505.812727741897
347,-1505.375341258943
348,-1504.2738205716014
349,-1504.5339817330241
350,-1504.9724557101727
351,-1499.6047284677625
352,-1502.247384749353
353,-1499.6323846802115
354,-1499.1074290946126
355,-1452.0568780004978
356,-1481.5741804242134
357,-1444.4950021132827
358,-1438.5403736457229
359,-1418.068582251668
360,-1329.8688597232103
361,-1333.5534979477525
362,-1439.0346843525767
363,-1469.868732444942
364,-1441.7384205833077
365,-1481.0928614884615
366,-1443.9549246132374
367,-1385.11088642478
368,-1456.1282250732183
369,-1478.4526595771313
370,-1444.7185244709253
371,-1472.5017950832844
372,-1461.1328959465027
373,-1273.4421955645084
374,-1226.010933034122
375,-1365.4972092285752
376,-1425.1232740208507
377,-1425.3204317763448
378,-1414.6939121931791
379,-1456.2913248166442
380,-1476.4879882484674
381,-1473.2563158348203
382,-1449.1511319354177
383,-1382.4861247092485
384,-1458.304251484573
385,-1456.2283804900944
386,-1470.536526799202
387,-1477.8213307484984
388,-1473.9805551730096
389,-1466.8774661570787
390,-1467.3694598525763
391,-1484.2425883561373
392,-1486.9854171425104
393,-1486.8781288526952
394,-1495.2747975885868
395,-1490.4238013215363
396,-1493.4232684522867
397,-1494.5679783150554
398,-1501.4236384928226
399,-1491.8263819217682
400,-1499.4694955386221
401,-1489.273436628282
402,-1485.9732214324176
403,-1495.7149496003985
404,-1502.5237587317824
405,-1487.2019797116518
406,-1487.0893294513226
407,-1492.5684691220522
408,-1493.7590428516269
409,-1501.9047457501292
410,-1478.9556074813008
411,-1486.3950480371714
412,-1482.3565763384104
413,-1470.2725400999188
414,-1452.0531714260578
415,-1463.7138790264726
416,-1475.3842610791326
417,-1483.87012001127
418,-1468.2923714742064
419,-1488.6721093468368
420,-1493.2210096791387
421,-1495.9638275951147
422,-1501.3572613075376
423,-1502.177080400288
424,-1499.1075389012694
425,-1496.6181543916464
426,-1502.0202600508928
427,-1499.507278099656
428,-1493.843696899712
429,-1497.0173259600997
430,-1465.0967696979642
431,-1449.5056745558977
432,-1445.275489166379
433,-1477.8442025855184
434,-1483.937901418656
435,-1496.9040890187025
436,-1479.506188839674
437,-1456.3199375011027
438,-1442.5634425282478
439,-1481.414859674871
440,-1484.0807770863175
441,-1469.5134395807981
442,-1497.2189785391092
443,-1494.4519653394818
444,-1494.9616456776857
445,-1498.0491140410304
446,-1496.7759688571095
447,-1496.8850690722466
448,-1457.2845344766974
449,-1495.7154467254877
450,-1473.8091104254127
451,-1491.1918447241187
452,-1492.2967133894563
453,-1479.9114219024777
454,-1459.727763235569
455,-1460.13723102957
456,-1466.0107592567801
457,-1468.9829087629914
458,-1389.7017855346203
459,-1467.965760178864
460,-1352.7870005853474
461,-1339.526046488434
462,-1390.373151883483
463,-1432.1683582514524
464,-1480.8680954053998
465,-1490.123593121767
466,-1482.9524554610252
467,-1476.8181746713817
468,-1488.2341965287924
469,-1492.4033067449927
470,-1488.985642530024
471,-1489.85837944597
472,-1493.1486095711589
473,-1481.5248998180032
474,-1484.414144717157
475,-1476.5305849015713
476,-1436.9512376636267
477,-1476.4635818302631
478,-1481.267624154687
479,-1484.3509555608034
480,-1485.2212174162269
481,-1490.6635165065527
482,-1490.081718184054
483,-1484.6024318933487
484,-1481.6946751773357
485,-1371.1743604689837
486,-1246.3964597061276
487,-1272.2999895364046
488,-1388.2709748521447
489,-1453.006358653307
490,-1472.7975463494658
491,-1467.8794363588095
492,-1486.0149448215961
493,-1483.012924157083
494,-1419.5912931114435
495,-1285.1863611117005
496,-1346.4081596434116
497,-1378.385489936918
498,-1267.851676389575
499,-1449.3185657709837
500,-1399.7851068601012
501,-1467.6538885608315
502,-1478.4531923159957
503,-1475.3512019142509
504,-1421.8600182756782
505,-1375.916173323989
506,-1410.1082797721028
507,-1355.906139537692
508,-1206.8966532796621
509,-1199.608339086175
510,-1229.8050040975213
511,-1384.4648645445704
512,-1429.57029363513
513,-1418.2788699120283
514,-1446.9749935120344
515,-1432.3581601828337
516,-1452.0339075028896
517,-1460.9562114998698
518,-1433.7974590212107
519,-1423.9828248247504
520,-1391.0857154652476
521,-1319.2901426777244
522,-597.176970332861
523,-597.3129880428314
524,-604.8653898835182
525,-576.7035429477692
526,-1141.4392432421446
527,-585.9246333837509
528,-579.1259763836861
529,-588.6384025216103
530,-1079.5096537172794
531,-1312.573602490127
532,-1353.365973830223
533,-569.6794103085995
534,-604.6116626262665
535,-586.7806968390942
536,-582.3965466916561
537,-1069.1077985018492
538,-590.0840463340282
539,-604.9672804772854
540,-583.5603411793709
541,-570.9906324744225
542,-595.0654440224171
543,-591.9526186585426
544,-577.8353272378445
545,-595.6667778491974
546,-581.5256537497044
547,-573.9904100298882
548,-577.4411146342754
549,-1470.635740160942
550,-1473.248040407896
551,-1437.5339737907052
552,-1458.3924063369632
553,-1464.8119589015841
554,-1406.1708133146167
555,-1430.1896170824766
556,-1495.7786893099546
557,-1494.7580236643553
558,-1497.3861506730318
559,-1499.2941530272365
560,-1498.6740818172693
561,-1498.2121087014675
562,-1499.8251970782876
563,-1498.2190167978406
564,-1485.6767058596015
565,-1462.20754545182
566,-1437.4420063272119
567,-1454.9318914413452
568,-1421.6553046703339
569,-1443.5868263989687
570,-1440.0812678560615
571,-1454.7756959199905
572,-1489.9772690311074
573,-1492.653124794364
574,-1498.0273460373282
575,-1493.0039344727993
576,-1492.9913386330009
577,-1496.2737522497773
578,-1501.515815347433
579,-1497.155725121498
580,-1500.6276847571135
581,-1493.4223041832447
582,-612.8899426162243
583,-1475.0677610635757
584,-1497.7998284474015
585,-1128.1259410977364
586,-1420.747171111405
587,-1484.4835284128785
588,-1501.0537414550781
589,-1495.2175264433026
590,-1129.9828260913491
591,-1462.2099356725812
592,-1459.961517944932
593,-1485.0759661644697
594,-1475.0826734900475
595,-574.3134276270866
596,-1432.693384848535
597,-565.3394421935081
598,-588.467410326004
599,-587.015133857727
600,-581.7549792528152
601,-573.5730407238007
602,-578.6659629940987
603,-580.8613108694553
604,-585.2496166527271
605,-588.031442373991
606,-1383.6263475641608
607,-596.3279679119587
608,-591.7556407153606
609,-591.2424738109112
610,-587.2412000000477
611,-581.1844679117203
612,-579.4338497817516
613,-1080.4068571850657
614,-585.0797497630119
615,-585.210230499506
616,-585.2957039475441
617,-591.575478553772
618,-584.1631014347076
619,-582.3099626004696
620,-549.5497406721115
621,-574.9402296543121
622,-618.8123999536037
623,-598.109906077385
624,-572.5455638170242
625,-580.867285490036
626,-586.2643357217312
627,-586.7171577811241
628,-580.0673972070217
629,-594.7097674906254
630,-548.8998026847839
631,-570.9309161305428
632,-570.135064125061
633,-572.5705015361309
634,-583.8108779489994
635,-602.940726608038
636,-575.5790700316429
637,-580.1200386881828
638,-564.6978044509888
639,-589.5096563994884
640,-584.4703838825226
641,-566.3855100274086
642,-586.7879840731621
643,-559.4592417478561
644,-573.989813119173
645,-579.3269540071487
646,-589.4033249020576
647,-593.8451824188232
648,-599.757692694664
649,-578.0240611732006
650,-577.3728584945202
651,-579.8569265902042
652,-583.3898522853851
653,-595.0259737670422
654,-583.0085311233997
655,-574.4593179523945
656,-591.2102577388287
657,-1403.4399435967207
658,-568.6974056363106
659,-575.3900795578957
660,-586.0389066934586
661,-567.2391869425774
662,-585.0278754532337
663,-566.4476336836815
664,-570.798966228962
665,-589.5971405804157
666,-578.1857035756111
667,-577.2569921910763
668,-581.7376467585564
669,-580.2787410616875
670,-585.2222363948822
671,-575.7171750664711
672,-613.0477752685547
673,-567.1760142147541
674,-577.0950420796871
675,-578.0580158829689
676,-605.2350490391254
677,-584.6772212982178
678,-569.6784835159779
679,-601.0540253520012
680,-609.7957716584206
681,-611.4743168056011
682,-600.9875916540623
683,-583.3685586452484
684,-596.8976440131664
685,-565.1873316764832
686,-590.169941008091
687,-578.3375248908997
688,-575.0552797019482
689,-581.8164828419685
690,-581.745634496212
691,-593.6806505024433
692,-585.3123534917831
693,-580.1838054656982
694,-620.9501876831055
695,-587.5848270654678
696,-578.3898107111454
697,-579.9541212916374
698,-601.8399767577648
699,-566.1174378991127
700,-564.0493730306625
701,-600.3622723221779
702,-588.306613355875
703,-603.7793956398964
704,-583.4712806940079
705,-575.1277607083321
706,-581.8083218336105
707,-569.9257375001907
708,-588.1309325397015
709,-567.4566521644592
710,-569.9427317976952
711,-595.0596823692322
712,-585.9471691846848
713,-608.7530186027288
714,-585.0873304605484
715,-592.8977426290512
716,-613.5868952274323
717,-571.683614730835
718,-580.8043113350868
719,-595.1626744568348
720,-613.7946107834578
721,-597.6559971868992
722,-615.1703071296215
723,-580.0615013241768
724,-587.5486983656883
725,-582.4866837859154
726,-579.3656003475189
727,-589.9167419970036
728,-604.8466018438339
729,-584.7519044280052
730,-584.4014374017715
731,-594.7707262337208
732,-586.2107007205486
733,-579.1217615008354
734,-1037.6592133939266
735,-581.2377399802208
736,-586.238679587841
737,-584.8651620149612
738,-561.6237590909004
739,-582.0220143198967
740,-591.2411734163761
741,-584.28173661232
742,-588.5037450194359
743,-590.9771033227444
744,-578.9144190847874
745,-1114.7004237547517
746,-1327.1748651713133
747,-1398.3934178501368
748,-1319.6517227515578
749,-1148.3021859005094
750,-1160.6605366542935
751,-1028.5841726735234
752,-578.8807390928268
753,-563.8905729055405
754,-564.7609933018684
755,-575.926853120327
756,-588.8214639127254
757,-597.4502405524254
758,-581.4699566364288
759,-568.7490257024765
760,-586.6810561716557
761,-585.26682934165
762,-586.9944628179073
763,-574.2688537240028
764,-583.9619496166706
765,-566.4190898537636
766,-581.4358526468277
767,-577.5772312581539
768,-613.6304504871368
769,-595.3300440311432
770,-594.2070890367031
771,-570.8365485370159
772,-581.2327751815319
773,-573.9567653536797
774,-1197.346540234983
775,-590.5096246600151
776,-589.1596304923296
777,-583.3833650350571
778,-574.775138437748
779,-576.1956968307495
780,-581.7666938304901
781,-558.5794796347618
782,-567.361997783184
783,-575.5098578631878
784,-565.854065477848
785,-601.7957990169525
786,-598.923878133297
787,-572.6984777450562
788,-576.419549882412
789,-576.2465685606003
790,-586.1478031277657
791,-582.8711539506912
792,-575.3693357408047
793,-578.975348174572
794,-577.5414597392082
795,-600.8777828216553
796,-581.9066788852215
797,-589.4755652844906
798,-595.040170520544
799,-589.7662091255188
800,-569.531340867281
801,-570.747190117836
802,-595.5814006775618
803,-570.8769420981407
804,-576.7122047841549
805,-590.7244563996792
806,-594.0699087977409
807,-593.9058491289616
808,-603.0334325432777
809,-592.7224029302597
810,-578.007950514555
811,-577.9033100008965
812,-581.9237323403358
813,-586.2698840796947
814,-594.5527001619339
815,-585.1216051280499
816,-573.0990652441978
817,-569.0022286772728
818,-583.7476172447205
819,-574.5742681622505
820,-564.6470429301262
821,-582.7920048236847
822,-563.4262132048607
823,-584.8431127071381
824,-574.1730612516403
825,-581.3602730333805
826,-596.4889665842056
827,-582.7790519893169
828,-590.4285407662392
829,-590.6297880411148
830,-578.2970899641514
831,-589.3434453010559
832,-586.6604183316231
833,-588.140161216259
834,-590.1597767174244
835,-589.4365939795971
836,-579.4022057950497
837,-571.5046235918999
838,-580.2319839298725
839,-606.2693692445755
840,-592.2789476811886
841,-584.6079083681107
842,-580.5169681608677
843,-556.6074436306953
844,-566.5384126901627
845,-579.0046130418777
846,-573.3542827367783
847,-583.6319628357887
848,-588.7961427569389
849,-556.688440322876
850,-584.7060563862324
851,-569.2022581100464
852,-568.2756534814835
853,-591.0285451412201
854,-574.3222139775753
855,-587.1786050498486
856,-612.3707974851131
857,-564.6501761078835
858,-604.0606744885445
859,-588.3807920515537
860,-595.6079238057137
861,-595.9201662540436
862,-586.5276288688183
863,-586.3241629600525
864,-574.7915635406971
865,-1114.8408441096544
866,-596.6591736674309
867,-1039.7060028240085
868,-580.8086262345314
869,-594.5172334313393
870,-1121.4600363820791
871,-1418.7367705330253
872,-1061.6151902005076
873,-624.9659260958433
874,-1197.443424038589
875,-1040.1888806149364
876,-562.8824105635285
877,-615.7152695991099
878,-1244.4316742271185
879,-820.5361960604787
880,-596.5374692380428
881,-640.2033512592316
882,-1196.915855228901
883,-1143.6232229024172
884,-1229.831366598606
885,-642.476787224412
886,-667.8113384470344
887,-606.3953287974
888,-1213.4892864897847
889,-1174.7147229015827
890,-617.9511106908321
891,-1158.2336825802922
892,-654.9455699771643
893,-622.8281061649323
894,-631.0892460122705
895,-738.8845886588097
896,-607.2238938137889
897,-649.9549320712686
898,-594.1641065478325
899,-666.873458147049
900,-649.999997317791
901,-700.7392399460077
902,-1419.864203184843
903,-653.2036410272121
904,-1217.4718294590712
905,-997.2565330937505
906,-1208.8925376012921
907,-1159.5674206689
908,-609.9386872053146
909,-652.5887099802494
910,-647.2259852364659
911,-570.7810129523277
912,-603.091767758131
913,-1177.1333207413554
914,-616.7639829516411
915,-1056.819032303989
916,-745.9663395062089
917,-715.7803616672754
918,-654.5535264313221
919,-602.0722729042172
920,-583.5778767764568
921,-561.3468995094299
922,-587.513426721096
923,-568.8547181487083
924,-1354.131945565343
925,-1124.8102521821856
926,-1268.1637108922005
927,-687.1607920899987
928,-633.4880429282784
929,-674.5797216370702
930,-673.9244649410248
931,-649.8829850181937
932,-594.1821891665459
933,-673.6831416897476
934,-574.2005971968174
935,-583.7723896056414
936,-693.2857990115881
937,-682.2617941498756
938,-617.596357151866
939,-622.0947770625353
940,-940.3285633772612
941,-1063.5800250768661
942,-1309.576705493033
943,-1444.3927901610732
944,-1300.6083715707064
945,-1342.9739841744304
946,-1369.6160676032305
947,-1465.9247982352972
948,-1434.3508014380932
949,-1432.2119586765766
950,-1440.8158256411552
951,-1470.3647442609072
952,-1503.3533571138978
953,-1503.9348176270723
954,-1481.095840089023
955,-1460.1487714797258
956,-1482.0578037053347
957,-1479.224604986608
958,-1497.2580641582608
959,-1503.7203081995249
960,-1502.6267543062568
961,-1503.2757763192058
962,-1502.7516715303063
963,-1493.991120122373
964,-1503.2188374474645
965,-1505.6266504749656
966,-1505.2110586762428
967,-1506.069721698761
968,-1504.4067554846406
969,-1505.2804198488593
970,-1505.9164481163025
971,-1479.4911361560225
972,-1468.5782594457269
973,-1475.206379815936
974,-1465.919604741037
975,-1479.1882095187902
976,-1498.3750216141343
977,-1505.1097034439445
978,-1472.537779726088
979,-1446.763840407133
980,-1319.9241628795862
981,-1427.3985252007842
982,-1442.207861058414
983,-1464.7204860970378
984,-1407.6187369674444
985,-1494.7564354985952
986,-1504.8586041927338
987,-1504.1304504945874
988,-1505.54614046216
989,-1506.2696753367782
990,-1504.5364111289382
991,-1505.1652468591928
992,-1504.6795410364866
993,-1504.8096846193075
994,-1505.178277850151
995,-1506.3067334741354
996,-1505.4875608682632
997,-1504.9010730832815
998,-1505.066854648292
999,-1506.0195723846555
1000,-1506.4214811772108
1001,-1504.9825951009989
1002,-1505.4322884604335
1003,-1505.7807537391782
1004,-1506.5153677240014
1005,-1505.46284365654
1006,-1506.7224981039762
1007,-1504.6868620589375
1008,-1505.4085832312703
1009,-1505.1045829579234
1010,-1504.6503764092922
1011,-1505.6443211361766
1012,-1505.1113681644201
1013,-1504.6722564399242
1014,-1506.1516081020236
1015,-1505.6291975975037
1016,-1506.8802083693445
1017,-1504.975318364799
1018,-1505.1255900412798
1019,-1506.3201949074864
1020,-1504.33127053082
1021,-1505.63137473166
1022,-1505.7028527408838
1023,-1505.2820652648807
1024,-1505.2610063552856
1025,-1504.8677926063538
1026,-1504.9408502355218
1027,-1505.6529964879155
1028,-1505.9205811321735
1029,-1505.4232734143734
1030,-1506.516118876636
1031,-1505.344472385943
1032,-1505.0670677050948
1033,-1505.4772939532995
1034,-1506.634693287313
1035,-1506.4616567194462
1036,-1505.6093682795763
1037,-1503.3549875244498
1038,-1505.4441829621792
1039,-1505.2212093397975
1040,-1505.7805370017886
1041,-1506.4429805651307
1042,-1506.298986159265
1043,-1505.7277935370803
1044,-1506.460990332067
1045,-1505.8075625747442
1046,-1505.0390917658806
1047,-1504.9509972557425
1048,-1505.3666505515575
1049,-1505.7363657951355
1050,-1506.0498284250498
1051,-1504.2586773112416
1052,-1504.6712507903576
1053,-1504.5320307090878
1054,-1505.9228046238422
1055,-1504.427011758089
1056,-1505.2171408608556
1057,-1504.8830440863967
1058,-1505.7229903191328
1059,-1505.2799797728658
1060,-1496.0450852438807
1061,-1505.7078002914786
1062,-1506.005330659449
1063,-1504.3004782423377
1064,-1505.184204518795
1065,-1506.2239650636911
1066,-1506.5107216238976
1067,-1505.3729010373354
1068,-1505.0412518829107
1069,-1506.7375400289893
1070,-1504.817421220243
1071,-1505.3839093595743
1072,-1504.1374382674694
1073,-1506.854449376464
1074,-1504.952433258295
1075,-1514.5892731919885
1076,-1504.7453998476267
1077,-1505.8639752492309
1078,-1506.249941572547
1079,-1504.9832613021135
1080,-1506.4618061035872
1081,-1504.7652337104082
1082,-1505.0842247605324
1083,-1504.9027861505747
1084,-1504.7427234575152
1085,-1504.8987501561642
1086,-1505.1336105763912
1087,-1507.0663062259555
1088,-1505.0824180468917
1089,-1504.2453173100948
1090,-1496.680881343782
1091,-1506.1600927263498
1092,-1515.1451620981097
1093,-1504.306919015944
1094,-1505.368222080171
1095,-1506.5975985080004
1096,-1504.9766700938344
1097,-1504.452588327229
1098,-1506.083414323628
1099,-1504.9660548493266
1100,-1505.855751439929
1101,-1505.358286574483
1102,-1505.6117071658373
1103,-1504.8063914775848
1104,-1505.1871054694057
1105,-1505.8017486184835
1106,-1506.1076546534896
1107,-1505.4181685075164
1108,-1505.2568607404828
1109,-1506.2865707799792
1110,-1504.1595169752836
1111,-1506.059870555997
1112,-1503.323729045689
1113,-1504.9997405484319
1114,-1506.290682978928
1115,-1506.2365425527096
1116,-1495.945776194334
1117,-1503.9633032158017
1118,-1516.8836375325918
1119,-1504.4641526415944
1120,-1505.2933088690042
1121,-1503.6874020844698
1122,-1505.4156460240483
1123,-1504.6752504482865
1124,-1505.8940990418196
1125,-1505.5260548889637
1126,-1504.4547785893083
1127,-1505.8680355250835
1128,-1506.0299825668335
1129,-1505.785615324974
1130,-1505.4251203760505
1131,-1505.0238183885813
1132,-1506.1724819988012
1133,-1506.338378407061
1134,-1506.4763912558556
1135,-1505.0059639960527
1136,-1505.73989405483
1137,-1505.1940198391676
1138,-1505.1848917007446
1139,-1505.7325711846352
1140,-1505.5322697758675
1141,-1505.2282012552023
1142,-1505.1726888343692
1143,-1505.630703434348
1144,-1505.76470874995
1145,-1504.6954987049103
1146,-1505.4105900526047
1147,-1505.107810728252
1148,-1505.6659668833017
1149,-1505.6207414194942
1150,-1505.2111617401242
1151,-1506.7757181823254
1152,-1506.2953801825643
1153,-1505.5891920179129
1154,-1504.973265402019
1155,-1506.3173895180225
1156,-1504.0975532755256
1157,-1505.9190809726715
1158,-1505.9435299634933
1159,-1505.3273096829653
1160,-1506.7306463122368
1161,-1496.2378448322415
1162,-1505.717385046184
1163,-1505.2076113894582
1164,-1505.6172250807285
1165,-1505.6021226197481
1166,-1504.629985883832
1167,-1506.4251872003078
1168,-1505.8943285048008
1169,-1505.8203567042947
1170,-1506.1915484592319
1171,-1495.5477404147387
1172,-1505.4567510038614
1173,-1515.9385801553726
1174,-1506.1149286925793
1175,-1505.4541217833757
1176,-1505.0402334854007
1177,-1505.826728247106
1178,-1505.3456778228283
1179,-1506.31251719594
1180,-1505.9643912762403
1181,-1505.959141522646
1182,-1505.5733306780457
1183,-1506.3431362956762
1184,-1505.2126177549362
1185,-1503.0427300333977
1186,-1505.9502888694406
1187,-1506.2423671782017
1188,-1505.7020582333207
1189,-1505.0515007674694
1190,-1505.4719719812274
1191,-1505.194652557373
1192,-1505.6440638154745
1193,-1505.4563678577542
1194,-1505.0144252851605
1195,-1505.3872892037034
1196,-1504.3757222294807
1197,-1505.9899699762464
